advertiser_name,impressions,clicks,ctr_pct,total_spend,total_revenue,roas
Advertiser_60,77079,3801,4.9313,174821.9,19569.5,0.1119
Advertiser_91,76731,3833,4.9954,173966.88,20533.47,0.118
Advertiser_37,74829,3769,5.0368,169860.97,19853.65,0.1169
Advertiser_45,74201,3712,5.0026,168775.31,19481.09,0.1154
Advertiser_88,74030,3689,4.9831,167579.54,19533.31,0.1166
Advertiser_36,69158,3450,4.9886,157203.94,17995.22,0.1145
Advertiser_52,68818,3437,4.9943,156350.72,18231.49,0.1166
Advertiser_21,66683,3377,5.0643,151251.56,17637.25,0.1166
Advertiser_85,65731,3364,5.1178,148963.06,17634.53,0.1184
Advertiser_11,65109,3151,4.8396,148294.38,16713.98,0.1127
