campaign_name,advertiser_name,impressions,clicks,total_spend,cpc,cpm
Campaign_122,Advertiser_13,332,24,761.91,31.7463,2294.9096
Campaign_552,Advertiser_56,796,56,1816.09,32.4302,2281.5201
Campaign_797,Advertiser_80,688,44,1459.19,33.1634,2120.9157
Campaign_306,Advertiser_33,601,41,1382.53,33.7202,2300.3827
Campaign_907,Advertiser_90,1126,74,2576.33,34.8153,2288.0373
Campaign_493,Advertiser_50,1527,96,3416.98,35.5935,2237.7079
Campaign_737,Advertiser_73,973,61,2228.17,36.5274,2290.0
Campaign_177,Advertiser_19,470,29,1060.27,36.561,2255.8936
Campaign_395,Advertiser_41,1166,71,2629.02,37.0285,2254.7341
Campaign_48,Advertiser_6,5499,325,12388.57,38.1187,2252.8769
Campaign_840,Advertiser_85,446,26,991.98,38.1531,2224.1704
Campaign_424,Advertiser_44,4917,291,11153.16,38.327,2268.2855
Campaign_192,Advertiser_20,833,49,1889.86,38.5686,2268.7395
Campaign_251,Advertiser_26,1950,115,4442.59,38.6312,2278.2513
Campaign_723,Advertiser_71,4673,272,10536.8,38.7382,2254.8256
Campaign_664,Advertiser_66,2187,127,4936.7,38.8717,2257.2931
Campaign_912,Advertiser_91,4845,280,10903.99,38.9428,2250.5655
Campaign_772,Advertiser_77,3070,176,6860.05,38.9776,2234.544
Campaign_752,Advertiser_74,3644,212,8295.74,39.1308,2276.5477
Campaign_321,Advertiser_34,5029,292,11470.92,39.284,2280.9545
Campaign_899,Advertiser_89,3622,208,8206.27,39.4532,2265.6737
Campaign_681,Advertiser_67,5824,330,13028.6,39.4806,2237.0536
Campaign_689,Advertiser_68,3516,200,7922.82,39.6141,2253.3618
Campaign_425,Advertiser_44,2238,127,5051.52,39.7757,2257.1582
Campaign_584,Advertiser_59,2671,152,6049.43,39.7989,2264.8559
Campaign_901,Advertiser_90,4944,282,11223.58,39.7999,2270.1416
Campaign_180,Advertiser_19,1361,77,3066.76,39.8281,2253.3137
Campaign_712,Advertiser_70,6592,376,14994.98,39.8803,2274.7239
Campaign_232,Advertiser_24,1880,108,4308.76,39.8959,2291.8936
Campaign_875,Advertiser_87,1644,93,3719.47,39.9943,2262.4513
Campaign_149,Advertiser_16,5043,286,11443.12,40.0109,2269.1097
Campaign_56,Advertiser_7,5067,286,11451.68,40.0408,2260.0513
Campaign_250,Advertiser_26,4828,272,10903.25,40.0855,2258.3368
Campaign_463,Advertiser_47,940,51,2045.82,40.1141,2176.4043
Campaign_55,Advertiser_7,1486,84,3374.28,40.17,2270.7133
Campaign_708,Advertiser_70,2091,115,4624.08,40.2094,2211.4204
Campaign_3,Advertiser_1,2126,119,4788.82,40.2422,2252.5024
Campaign_670,Advertiser_66,4773,267,10752.99,40.2734,2252.8787
Campaign_669,Advertiser_66,5008,279,11260.01,40.3585,2248.4046
Campaign_125,Advertiser_13,5917,332,13402.45,40.3688,2265.0752
Campaign_984,Advertiser_98,5944,334,13498.19,40.4137,2270.8933
Campaign_956,Advertiser_95,5991,336,13593.71,40.4575,2269.0219
Campaign_433,Advertiser_45,6524,364,14750.9,40.5245,2261.0208
Campaign_933,Advertiser_92,940,53,2148.23,40.5326,2285.3511
Campaign_621,Advertiser_61,2409,132,5351.94,40.545,2221.6438
Campaign_798,Advertiser_80,4961,279,11328.18,40.6028,2283.4469
Campaign_884,Advertiser_88,5519,307,12472.32,40.6264,2259.8877
Campaign_158,Advertiser_16,4777,266,10815.36,40.6592,2264.0486
Campaign_409,Advertiser_42,6903,384,15620.86,40.6793,2262.9089
Campaign_982,Advertiser_98,6673,373,15188.01,40.7185,2276.0393
Campaign_361,Advertiser_38,3273,182,7418.88,40.7631,2266.6911
Campaign_110,Advertiser_12,3126,171,6980.74,40.823,2233.1222
Campaign_342,Advertiser_36,4529,250,10221.4,40.8856,2256.8779
Campaign_764,Advertiser_76,4560,254,10419.43,41.0214,2284.9627
Campaign_225,Advertiser_23,3381,187,7672.16,41.0276,2269.1985
Campaign_278,Advertiser_30,3525,194,7963.68,41.0499,2259.2
Campaign_399,Advertiser_42,3713,204,8384.27,41.0994,2258.0851
Campaign_241,Advertiser_25,5295,289,11889.56,41.1403,2245.4315
Campaign_758,Advertiser_75,6089,335,13782.42,41.1416,2263.4948
Campaign_466,Advertiser_48,3277,182,7496.77,41.191,2287.693
Campaign_629,Advertiser_63,5082,280,11549.53,41.2483,2272.6348
Campaign_575,Advertiser_58,5672,313,12919.27,41.2756,2277.7274
Campaign_902,Advertiser_90,5112,283,11683.48,41.2844,2285.5008
Campaign_870,Advertiser_87,4414,240,9913.29,41.3054,2245.8745
Campaign_849,Advertiser_85,5192,290,11985.43,41.3291,2308.4418
Campaign_760,Advertiser_76,4411,243,10046.26,41.3426,2277.547
Campaign_117,Advertiser_12,5089,279,11535.43,41.3456,2266.7381
Campaign_249,Advertiser_26,1782,97,4010.59,41.3463,2250.6117
Campaign_954,Advertiser_95,6370,349,14429.93,41.3465,2265.2951
Campaign_619,Advertiser_61,5752,315,13026.5,41.354,2264.6905
Campaign_620,Advertiser_61,1167,63,2609.21,41.416,2235.8269
Campaign_544,Advertiser_55,3674,200,8288.15,41.4408,2255.8928
Campaign_152,Advertiser_16,5185,284,11782.43,41.4874,2272.4069
Campaign_559,Advertiser_57,1214,66,2738.36,41.4903,2255.6507
Campaign_671,Advertiser_67,5468,299,12411.54,41.5102,2269.85
Campaign_47,Advertiser_6,4920,271,11250.09,41.5132,2286.6037
Campaign_57,Advertiser_7,1259,69,2866.72,41.5467,2276.9817
Campaign_245,Advertiser_25,1467,82,3408.85,41.5713,2323.6878
Campaign_917,Advertiser_91,6274,339,14108.07,41.6167,2248.6564
Campaign_234,Advertiser_25,7608,414,17240.02,41.6426,2266.0384
Campaign_1007,Advertiser_100,5448,299,12454.4,41.6535,2286.0499
Campaign_416,Advertiser_43,1205,66,2750.05,41.6674,2282.1992
Campaign_473,Advertiser_48,2353,131,5461.6,41.6916,2321.122
Campaign_182,Advertiser_19,4911,270,11266.38,41.7273,2294.1112
Campaign_985,Advertiser_98,6618,356,14876.35,41.7875,2247.8619
Campaign_498,Advertiser_51,4383,238,9950.66,41.8095,2270.2852
Campaign_667,Advertiser_66,562,30,1254.84,41.828,2232.8114
Campaign_531,Advertiser_54,4973,269,11258.09,41.8516,2263.8428
Campaign_285,Advertiser_30,5800,313,13105.24,41.8698,2259.5241
Campaign_261,Advertiser_28,6003,322,13488.45,41.8896,2246.9515
Campaign_871,Advertiser_87,5877,316,13237.64,41.8913,2252.4485
Campaign_716,Advertiser_71,4574,246,10309.77,41.9096,2253.9943
Campaign_541,Advertiser_54,4800,261,10939.16,41.9125,2278.9917
Campaign_831,Advertiser_84,6672,359,15051.37,41.9258,2255.9008
Campaign_512,Advertiser_52,4093,223,9350.61,41.931,2284.537
Campaign_17,Advertiser_3,8177,440,18456.62,41.9469,2257.1383
Campaign_756,Advertiser_75,2737,145,6083.81,41.9573,2222.8023
Campaign_354,Advertiser_37,6100,328,13765.56,41.9682,2256.6492
Campaign_876,Advertiser_87,2369,127,5330.6,41.9732,2250.1477
Campaign_156,Advertiser_16,3242,177,7435.79,42.0101,2293.5811
Campaign_666,Advertiser_66,5237,282,11849.98,42.0212,2262.742
Campaign_352,Advertiser_37,8017,436,18323.67,42.0268,2285.6018
Campaign_967,Advertiser_96,5443,295,12400.05,42.0341,2278.1646
Campaign_155,Advertiser_16,4713,257,10817.85,42.0928,2295.3215
Campaign_436,Advertiser_45,6094,327,13766.42,42.0991,2259.0121
Campaign_545,Advertiser_55,1270,69,2906.19,42.1187,2288.3386
Campaign_506,Advertiser_51,3040,162,6823.47,42.1202,2244.5625
Campaign_580,Advertiser_58,5225,282,11884.13,42.1423,2274.4746
Campaign_325,Advertiser_34,4193,224,9441.75,42.1507,2251.7887
Campaign_649,Advertiser_65,3866,206,8684.13,42.156,2246.283
Campaign_806,Advertiser_81,8591,463,19531.77,42.1852,2273.5153
Campaign_242,Advertiser_25,5630,304,12825.17,42.1881,2278.0053
Campaign_685,Advertiser_68,4030,216,9119.47,42.2198,2262.8958
Campaign_501,Advertiser_51,5938,320,13514.7,42.2334,2275.9683
Campaign_293,Advertiser_31,2597,139,5871.88,42.2437,2261.0243
Campaign_147,Advertiser_15,6809,365,15425.92,42.2628,2265.5192
Campaign_915,Advertiser_91,1387,75,3171.38,42.2851,2286.5032
Campaign_393,Advertiser_41,4871,262,11085.84,42.3124,2275.8859
Campaign_969,Advertiser_97,6094,326,13795.73,42.3182,2263.8218
Campaign_204,Advertiser_21,4497,241,10199.38,42.3211,2268.0409
Campaign_151,Advertiser_16,4633,248,10504.95,42.3587,2267.4185
Campaign_282,Advertiser_30,4296,228,9659.93,42.3681,2248.5871
Campaign_582,Advertiser_58,5539,291,12332.16,42.3786,2226.4235
Campaign_267,Advertiser_29,5776,308,13057.0,42.3929,2260.5609
Campaign_946,Advertiser_94,2043,109,4621.45,42.3986,2262.0901
Campaign_921,Advertiser_91,6615,356,15098.56,42.4117,2282.4732
Campaign_443,Advertiser_46,884,46,1951.54,42.4248,2207.6244
Campaign_750,Advertiser_74,5894,318,13495.99,42.4402,2289.7845
Campaign_349,Advertiser_37,5607,299,12690.76,42.444,2263.3779
Campaign_893,Advertiser_89,8656,462,19612.95,42.4523,2265.8214
Campaign_748,Advertiser_74,7322,391,16599.43,42.4538,2267.0623
Campaign_345,Advertiser_36,3895,209,8873.82,42.4585,2278.2593
Campaign_846,Advertiser_85,4357,233,9896.09,42.4725,2271.3082
Campaign_486,Advertiser_49,5966,318,13510.97,42.4873,2264.6614
Campaign_257,Advertiser_27,6391,344,14621.26,42.5037,2287.7891
Campaign_11,Advertiser_2,4859,256,10882.7,42.5105,2239.6995
Campaign_517,Advertiser_52,7510,400,17012.43,42.5311,2265.3036
Campaign_803,Advertiser_80,6567,351,14940.41,42.5653,2275.0739
Campaign_185,Advertiser_19,4199,222,9449.53,42.5655,2250.4239
Campaign_755,Advertiser_75,5353,283,12046.28,42.5664,2250.3792
Campaign_747,Advertiser_74,8717,465,19802.11,42.5852,2271.6657
Campaign_632,Advertiser_64,6207,332,14139.41,42.5886,2277.9781
Campaign_597,Advertiser_59,4815,256,10908.1,42.6098,2265.4413
Campaign_955,Advertiser_95,4641,246,10482.44,42.6115,2258.6598
Campaign_585,Advertiser_59,5221,279,11889.86,42.616,2277.3147
Campaign_504,Advertiser_51,6930,371,15825.59,42.6566,2283.6349
Campaign_573,Advertiser_58,5007,266,11347.94,42.6614,2266.415
Campaign_465,Advertiser_48,6497,342,14591.06,42.6639,2245.815
Campaign_668,Advertiser_66,4712,250,10667.26,42.669,2263.8497
Campaign_263,Advertiser_28,6163,325,13870.46,42.6783,2250.602
Campaign_910,Advertiser_91,2287,121,5165.36,42.6889,2258.5746
Campaign_39,Advertiser_5,4691,249,10632.23,42.6997,2266.5167
Campaign_356,Advertiser_37,7074,377,16101.14,42.7086,2276.1012
Campaign_769,Advertiser_76,8462,447,19090.81,42.7087,2256.0636
Campaign_823,Advertiser_83,6137,328,14010.7,42.7155,2282.9884
Campaign_601,Advertiser_60,3762,201,8586.65,42.7197,2282.4694
Campaign_777,Advertiser_77,5140,273,11672.57,42.7567,2270.928
Campaign_456,Advertiser_47,8772,470,20095.85,42.7571,2290.9086
Campaign_266,Advertiser_28,4875,261,11165.2,42.7785,2290.2974
Campaign_848,Advertiser_85,9283,489,20920.04,42.7813,2253.5861
Campaign_396,Advertiser_41,6333,336,14375.4,42.7839,2269.9195
Campaign_472,Advertiser_48,4828,257,11000.66,42.8041,2278.5128
Campaign_316,Advertiser_34,6026,318,13611.83,42.8045,2258.85
Campaign_25,Advertiser_4,2876,153,6549.2,42.8052,2277.1905
Campaign_829,Advertiser_84,6057,323,13838.93,42.845,2284.7829
Campaign_355,Advertiser_37,920,49,2099.67,42.8504,2282.25
Campaign_128,Advertiser_13,4502,236,10116.17,42.8651,2247.0391
Campaign_765,Advertiser_76,6911,367,15737.83,42.8824,2277.2146
Campaign_753,Advertiser_74,5502,293,12567.86,42.8937,2284.2348
Campaign_853,Advertiser_86,982,51,2187.93,42.9006,2228.0346
Campaign_449,Advertiser_46,4854,259,11119.9,42.934,2290.8735
Campaign_816,Advertiser_82,320,17,730.2,42.9529,2281.875
Campaign_34,Advertiser_5,720,37,1590.23,42.9792,2208.6528
Campaign_284,Advertiser_30,4406,232,9978.87,43.0124,2264.8366
Campaign_244,Advertiser_25,6709,355,15279.98,43.0422,2277.5347
Campaign_1000,Advertiser_99,2636,138,5940.67,43.0483,2253.6684
Campaign_721,Advertiser_71,4735,252,10848.35,43.049,2291.0982
Campaign_657,Advertiser_66,8438,438,18861.16,43.062,2235.2643
Campaign_208,Advertiser_21,3747,193,8314.02,43.0778,2218.8471
Campaign_210,Advertiser_21,6320,337,14519.45,43.0844,2297.3813
Campaign_444,Advertiser_46,6258,331,14262.29,43.0885,2279.0492
Campaign_380,Advertiser_40,4769,251,10817.06,43.0959,2268.203
Campaign_20,Advertiser_3,6299,326,14049.49,43.0966,2230.4318
Campaign_851,Advertiser_85,5042,265,11427.62,43.1231,2266.4855
Campaign_186,Advertiser_19,1391,73,3148.15,43.1253,2263.2279
Campaign_1001,Advertiser_99,4711,245,10573.73,43.1581,2244.4768
Campaign_46,Advertiser_6,7045,368,15885.45,43.167,2254.8545
Campaign_578,Advertiser_58,9106,479,20686.81,43.1875,2271.7779
Campaign_730,Advertiser_72,1192,63,2721.49,43.1983,2283.1292
Campaign_157,Advertiser_16,5199,274,11840.9,43.215,2277.5341
Campaign_148,Advertiser_16,6159,322,13915.51,43.2159,2259.3781
Campaign_520,Advertiser_52,4583,241,10417.11,43.2245,2272.9893
Campaign_385,Advertiser_40,6791,353,15259.39,43.2277,2247.0019
Campaign_183,Advertiser_19,5253,275,11887.64,43.2278,2263.0192
Campaign_143,Advertiser_15,4779,252,10903.23,43.2668,2281.4878
Campaign_673,Advertiser_67,2603,137,5927.77,43.2684,2277.2839
Campaign_808,Advertiser_81,8670,458,19820.51,43.2762,2286.1027
Campaign_105,Advertiser_11,5715,302,13070.19,43.2788,2286.9974
Campaign_200,Advertiser_21,6019,315,13633.65,43.2814,2265.1022
Campaign_27,Advertiser_4,5509,290,12555.43,43.2946,2279.0761
Campaign_537,Advertiser_54,3576,190,8229.97,43.3156,2301.4457
Campaign_911,Advertiser_91,6564,342,14814.99,43.3187,2257.0064
Campaign_724,Advertiser_71,2331,120,5201.12,43.3427,2231.2827
Campaign_878,Advertiser_88,4725,247,10706.75,43.3472,2265.9788
Campaign_665,Advertiser_66,5338,278,12052.22,43.3533,2257.8157
Campaign_971,Advertiser_97,6596,342,14828.9,43.3594,2248.1656
Campaign_795,Advertiser_79,3551,188,8153.16,43.3679,2296.018
Campaign_296,Advertiser_31,3490,183,7936.68,43.3698,2274.1203
Campaign_187,Advertiser_19,4994,260,11282.27,43.3933,2259.165
Campaign_693,Advertiser_68,6929,365,15838.84,43.3941,2285.8767
Campaign_508,Advertiser_51,4591,237,10285.06,43.3969,2240.2657
