campaign_name,advertiser_name,budget,total_spent,remaining_budget,pct_spent
Campaign_120,Advertiser_12,10131.94,22457.94,-12326.0,221.65
Campaign_159,Advertiser_17,10453.4,22596.52,-12143.12,216.16
Campaign_357,Advertiser_37,10492.79,22445.62,-11952.83,213.91
Campaign_450,Advertiser_46,11991.42,22181.86,-10190.44,184.98
Campaign_435,Advertiser_45,12139.88,22444.41,-10304.53,184.88
Campaign_611,Advertiser_60,12704.15,22091.34,-9387.19,173.89
Campaign_799,Advertiser_80,13046.58,22441.84,-9395.26,172.01
Campaign_52,Advertiser_6,13886.73,22500.2,-8613.47,162.03
Campaign_499,Advertiser_51,14328.04,22215.01,-7886.97,155.05
Campaign_371,Advertiser_39,15445.69,22754.43,-7308.74,147.32
Campaign_706,Advertiser_70,15734.57,22539.01,-6804.44,143.25
Campaign_78,Advertiser_9,15905.71,22644.99,-6739.28,142.37
Campaign_802,Advertiser_80,16273.77,22192.27,-5918.5,136.37
Campaign_715,Advertiser_71,16542.76,22372.57,-5829.81,135.24
Campaign_227,Advertiser_24,17043.26,22459.21,-5415.95,131.78
Campaign_59,Advertiser_7,17303.98,22538.68,-5234.7,130.25
Campaign_294,Advertiser_31,17642.03,22539.23,-4897.2,127.76
Campaign_969,Advertiser_97,18191.49,22746.95,-4555.46,125.04
Campaign_191,Advertiser_19,18175.49,22564.87,-4389.38,124.15
Campaign_798,Advertiser_80,18755.67,22174.99,-3419.32,118.23
Campaign_674,Advertiser_67,19284.79,22307.06,-3022.27,115.67
Campaign_615,Advertiser_61,19620.95,22449.87,-2828.92,114.42
Campaign_522,Advertiser_52,21000.71,22876.63,-1875.92,108.93
Campaign_779,Advertiser_77,20320.29,22015.61,-1695.32,108.34
Campaign_901,Advertiser_90,21667.98,22610.08,-942.1,104.35
Campaign_696,Advertiser_69,21779.65,22492.02,-712.37,103.27
Campaign_668,Advertiser_66,22079.2,22218.15,-138.95,100.63
Campaign_918,Advertiser_91,22831.49,22866.62,-35.13,100.15
Campaign_890,Advertiser_88,22768.16,22744.93,23.23,99.9
Campaign_302,Advertiser_32,22589.16,22248.43,340.73,98.49
Campaign_397,Advertiser_41,22776.32,22368.87,407.45,98.21
Campaign_809,Advertiser_81,23527.69,22195.84,1331.85,94.34
Campaign_633,Advertiser_64,23748.27,22304.89,1443.38,93.92
Campaign_844,Advertiser_85,24365.38,22449.17,1916.21,92.14
Campaign_229,Advertiser_24,24228.56,22149.3,2079.26,91.42
Campaign_92,Advertiser_10,24276.06,22114.16,2161.9,91.09
Campaign_830,Advertiser_84,24651.08,22326.96,2324.12,90.57
Campaign_428,Advertiser_45,25307.3,22814.93,2492.37,90.15
Campaign_538,Advertiser_54,25036.96,22346.36,2690.6,89.25
Campaign_469,Advertiser_48,25580.39,22710.79,2869.6,88.78
Campaign_238,Advertiser_25,25602.09,22449.69,3152.4,87.69
Campaign_370,Advertiser_39,26398.91,22515.01,3883.9,85.29
Campaign_620,Advertiser_61,26348.73,22439.73,3909.0,85.16
Campaign_284,Advertiser_30,26345.83,21998.19,4347.64,83.5
Campaign_1013,Advertiser_100,27045.56,22528.08,4517.48,83.3
